bundle	subtask	pass	partial_score	checks_passed	checks_total	failure_modes	attestation	note
P1	cr4	False	0.88	14	16	tests_failing;bad_attestation	copy-unparsed	
P1	spec5	True	1.0	19	19		copy-unparsed	
P2	api1	True	1.0	10	10		extracted	
P2	ir2	True	1.0	7	7		extracted	
P3	p5	False	0.93	14	15	bad_attestation	merged-as-is	
P3	test9	False	0.22	2	9	missing_tests;tests_fail;too_few_tests;no_mocking;missing_api_coverage;no_error_scenario;bad_attestation	merged-as-is	
P4	spec6	False	0.95	19	20	bad_attestation	merged-as-is	
P4	lh5	False	0.92	12	13	bad_attestation	merged-as-is	
P5	test9	False	0.89	8	9	bad_attestation	extracted	
P5	cross3	True	1.0	10			extracted	
P6	crypto1	False	0.2	2			copy-unparsed	
P6	ir2	False	0.29	2	7	invalid_answer_structure;invalid_evidence_format;wrong_answer;invalid_evidence_content;bad_attestation	copy-unparsed	
P7	lh5	False	0.92	12	13	bad_attestation	merged-as-is	
P7	pipe3_stream_processing	True	1.0	10			merged-as-is	
P8	spec5	True	1.0	19	19		merged-as-is	
P8	multi4	False	0.9	9	10	bad_attestation	extracted	
P9	lh5	False	0.92	12	13	bad_attestation	merged-as-is	
P9	spec5	True	1.0	19	19		merged-as-is	
P10	test9	False	0.89	8	9	bad_attestation	merged-as-is	
P10	ir2	False	0.86	6	7	bad_attestation	merged-as-is	
